Date,Brand_and_Source,Net Sentiment
9/15/20,TIK_brandwatch,0.849
9/15/20,TIK_brandwatch,0.849
9/15/20,TIK_brandwatch,0.849
9/15/20,TIK_brandwatch,0.849
9/14/20,TIK_brandwatch,0.819
9/14/20,TIK_brandwatch,0.819
9/14/20,TIK_brandwatch,0.819
9/14/20,TIK_brandwatch,0.819
9/13/20,TIK_brandwatch,1.595
9/13/20,TIK_brandwatch,1.595
9/13/20,TIK_brandwatch,1.595
9/13/20,TIK_brandwatch,1.595
9/12/20,TIK_brandwatch,1.075
9/12/20,TIK_brandwatch,1.075
9/12/20,TIK_brandwatch,1.076
9/12/20,TIK_brandwatch,1.076
9/11/20,TIK_brandwatch,0.595
9/11/20,TIK_brandwatch,0.595
9/11/20,TIK_brandwatch,0.595
9/11/20,TIK_brandwatch,0.595
9/10/20,TIK_brandwatch,1.24
9/10/20,TIK_brandwatch,1.24
9/10/20,TIK_brandwatch,1.24
9/10/20,TIK_brandwatch,1.24
9/9/20,TIK_brandwatch,1.235
9/9/20,TIK_brandwatch,1.235
9/9/20,TIK_brandwatch,1.235
9/9/20,TIK_brandwatch,1.235
9/8/20,TIK_brandwatch,0.189
9/8/20,TIK_brandwatch,0.189
9/8/20,TIK_brandwatch,0.189
9/8/20,TIK_brandwatch,0.189
9/7/20,TIK_brandwatch,-0.057
9/7/20,TIK_brandwatch,-0.057
9/7/20,TIK_brandwatch,-0.057
9/7/20,TIK_brandwatch,-0.057
9/6/20,TIK_brandwatch,0.633
9/6/20,TIK_brandwatch,0.633
9/6/20,TIK_brandwatch,0.633
9/6/20,TIK_brandwatch,0.633
9/5/20,TIK_brandwatch,2.419
9/5/20,TIK_brandwatch,2.419
9/5/20,TIK_brandwatch,2.419
9/5/20,TIK_brandwatch,2.419
9/4/20,TIK_brandwatch,1.137
9/4/20,TIK_brandwatch,1.137
9/4/20,TIK_brandwatch,1.137
9/4/20,TIK_brandwatch,1.137
9/3/20,TIK_brandwatch,-0.108
9/3/20,TIK_brandwatch,-0.108
9/3/20,TIK_brandwatch,-0.108
9/3/20,TIK_brandwatch,-0.108
9/2/20,TIK_brandwatch,0.888
9/2/20,TIK_brandwatch,0.888
9/2/20,TIK_brandwatch,0.888
9/2/20,TIK_brandwatch,0.888
9/1/20,TIK_brandwatch,2.203
9/1/20,TIK_brandwatch,2.203
9/1/20,TIK_brandwatch,2.203
9/1/20,TIK_brandwatch,2.203
9/15/20,TIK_brandwatch_100D,0.509
9/15/20,TIK_brandwatch_100D,0.52
9/15/20,TIK_brandwatch_100D,0.509
9/15/20,TIK_brandwatch_100D,0.52
9/14/20,TIK_brandwatch_100D,0.531
9/14/20,TIK_brandwatch_100D,0.523
9/14/20,TIK_brandwatch_100D,0.531
9/14/20,TIK_brandwatch_100D,0.523
9/13/20,TIK_brandwatch_100D,0.515
9/13/20,TIK_brandwatch_100D,0.508
9/13/20,TIK_brandwatch_100D,0.515
9/13/20,TIK_brandwatch_100D,0.508
9/12/20,TIK_brandwatch_100D,0.5
9/12/20,TIK_brandwatch_100D,0.49
9/12/20,TIK_brandwatch_100D,0.5
9/12/20,TIK_brandwatch_100D,0.49
9/11/20,TIK_brandwatch_100D,0.48
9/11/20,TIK_brandwatch_100D,0.476
9/11/20,TIK_brandwatch_100D,0.48
9/11/20,TIK_brandwatch_100D,0.476
9/10/20,TIK_brandwatch_100D,0.471
9/10/20,TIK_brandwatch_100D,0.44
9/10/20,TIK_brandwatch_100D,0.471
9/10/20,TIK_brandwatch_100D,0.44
9/9/20,TIK_brandwatch_100D,0.409
9/9/20,TIK_brandwatch_100D,0.383
9/9/20,TIK_brandwatch_100D,0.409
9/9/20,TIK_brandwatch_100D,0.383
9/8/20,TIK_brandwatch_100D,0.356
9/8/20,TIK_brandwatch_100D,0.362
9/8/20,TIK_brandwatch_100D,0.356
9/8/20,TIK_brandwatch_100D,0.362
9/7/20,TIK_brandwatch_100D,0.368
9/7/20,TIK_brandwatch_100D,0.389
9/7/20,TIK_brandwatch_100D,0.368
9/7/20,TIK_brandwatch_100D,0.389
9/6/20,TIK_brandwatch_100D,0.411
9/6/20,TIK_brandwatch_100D,0.413
9/6/20,TIK_brandwatch_100D,0.411
9/6/20,TIK_brandwatch_100D,0.413
9/5/20,TIK_brandwatch_100D,0.413
9/5/20,TIK_brandwatch_100D,0.391
9/5/20,TIK_brandwatch_100D,0.413
9/5/20,TIK_brandwatch_100D,0.391
9/4/20,TIK_brandwatch_100D,0.375
9/4/20,TIK_brandwatch_100D,0.37
9/4/20,TIK_brandwatch_100D,0.375
9/4/20,TIK_brandwatch_100D,0.37
9/3/20,TIK_brandwatch_100D,0.364
9/3/20,TIK_brandwatch_100D,0.385
9/3/20,TIK_brandwatch_100D,0.364
9/3/20,TIK_brandwatch_100D,0.385
9/2/20,TIK_brandwatch_100D,0.37
9/2/20,TIK_brandwatch_100D,0.34
9/2/20,TIK_brandwatch_100D,0.37
9/2/20,TIK_brandwatch_100D,0.34
9/1/20,TIK_brandwatch_100D,0.321
9/1/20,TIK_brandwatch_100D,0.307
9/1/20,TIK_brandwatch_100D,0.321
9/1/20,TIK_brandwatch_100D,0.307
9/15/20,TIK_brandwatch_200D,0.567
9/15/20,TIK_brandwatch_200D,0.569
9/15/20,TIK_brandwatch_200D,0.567
9/15/20,TIK_brandwatch_200D,0.569
9/14/20,TIK_brandwatch_200D,0.572
9/14/20,TIK_brandwatch_200D,0.57
9/14/20,TIK_brandwatch_200D,0.572
9/14/20,TIK_brandwatch_200D,0.57
9/13/20,TIK_brandwatch_200D,0.572
9/13/20,TIK_brandwatch_200D,0.571
9/13/20,TIK_brandwatch_200D,0.572
9/13/20,TIK_brandwatch_200D,0.571
9/12/20,TIK_brandwatch_200D,0.567
9/12/20,TIK_brandwatch_200D,0.56
9/12/20,TIK_brandwatch_200D,0.567
9/12/20,TIK_brandwatch_200D,0.56
9/11/20,TIK_brandwatch_200D,0.556
9/11/20,TIK_brandwatch_200D,0.556
9/11/20,TIK_brandwatch_200D,0.556
9/11/20,TIK_brandwatch_200D,0.556
9/10/20,TIK_brandwatch_200D,0.562
9/10/20,TIK_brandwatch_200D,0.567
9/10/20,TIK_brandwatch_200D,0.562
9/10/20,TIK_brandwatch_200D,0.567
9/9/20,TIK_brandwatch_200D,0.573
9/9/20,TIK_brandwatch_200D,0.572
9/9/20,TIK_brandwatch_200D,0.573
9/9/20,TIK_brandwatch_200D,0.572
9/8/20,TIK_brandwatch_200D,0.572
9/8/20,TIK_brandwatch_200D,0.583
9/8/20,TIK_brandwatch_200D,0.572
9/8/20,TIK_brandwatch_200D,0.583
9/7/20,TIK_brandwatch_200D,0.595
9/7/20,TIK_brandwatch_200D,0.607
9/7/20,TIK_brandwatch_200D,0.595
9/7/20,TIK_brandwatch_200D,0.607
9/6/20,TIK_brandwatch_200D,0.618
9/6/20,TIK_brandwatch_200D,0.626
9/6/20,TIK_brandwatch_200D,0.618
9/6/20,TIK_brandwatch_200D,0.626
9/5/20,TIK_brandwatch_200D,0.633
9/5/20,TIK_brandwatch_200D,0.631
9/5/20,TIK_brandwatch_200D,0.633
9/5/20,TIK_brandwatch_200D,0.631
9/4/20,TIK_brandwatch_200D,0.632
9/4/20,TIK_brandwatch_200D,0.639
9/4/20,TIK_brandwatch_200D,0.632
9/4/20,TIK_brandwatch_200D,0.639
9/3/20,TIK_brandwatch_200D,0.641
9/3/20,TIK_brandwatch_200D,0.648
9/3/20,TIK_brandwatch_200D,0.641
9/3/20,TIK_brandwatch_200D,0.648
9/2/20,TIK_brandwatch_200D,0.655
9/2/20,TIK_brandwatch_200D,0.658
9/2/20,TIK_brandwatch_200D,0.655
9/2/20,TIK_brandwatch_200D,0.658
9/1/20,TIK_brandwatch_200D,0.66
9/1/20,TIK_brandwatch_200D,0.665
9/1/20,TIK_brandwatch_200D,0.66
9/1/20,TIK_brandwatch_200D,0.665
9/15/20,TIK_brandwatch_21D,0.894
9/15/20,TIK_brandwatch_21D,0.968
9/15/20,TIK_brandwatch_21D,0.894
9/15/20,TIK_brandwatch_21D,0.968
9/14/20,TIK_brandwatch_21D,0.982
9/14/20,TIK_brandwatch_21D,0.997
9/14/20,TIK_brandwatch_21D,0.982
9/14/20,TIK_brandwatch_21D,0.997
9/13/20,TIK_brandwatch_21D,0.953
9/13/20,TIK_brandwatch_21D,0.872
9/13/20,TIK_brandwatch_21D,0.953
9/13/20,TIK_brandwatch_21D,0.872
9/12/20,TIK_brandwatch_21D,0.838
9/12/20,TIK_brandwatch_21D,0.829
9/12/20,TIK_brandwatch_21D,0.838
9/12/20,TIK_brandwatch_21D,0.829
9/11/20,TIK_brandwatch_21D,0.883
9/11/20,TIK_brandwatch_21D,0.96
9/11/20,TIK_brandwatch_21D,0.883
9/11/20,TIK_brandwatch_21D,0.96
9/10/20,TIK_brandwatch_21D,1.003
9/10/20,TIK_brandwatch_21D,1.016
9/10/20,TIK_brandwatch_21D,1.003
9/10/20,TIK_brandwatch_21D,1.016
9/9/20,TIK_brandwatch_21D,1.062
9/9/20,TIK_brandwatch_21D,1.107
9/9/20,TIK_brandwatch_21D,1.062
9/9/20,TIK_brandwatch_21D,1.107
9/8/20,TIK_brandwatch_21D,1.149
9/8/20,TIK_brandwatch_21D,1.24
9/8/20,TIK_brandwatch_21D,1.149
9/8/20,TIK_brandwatch_21D,1.24
9/7/20,TIK_brandwatch_21D,1.33
9/7/20,TIK_brandwatch_21D,1.433
9/7/20,TIK_brandwatch_21D,1.33
9/7/20,TIK_brandwatch_21D,1.433
9/6/20,TIK_brandwatch_21D,1.474
9/6/20,TIK_brandwatch_21D,1.482
9/6/20,TIK_brandwatch_21D,1.474
9/6/20,TIK_brandwatch_21D,1.482
9/5/20,TIK_brandwatch_21D,1.537
9/5/20,TIK_brandwatch_21D,1.507
9/5/20,TIK_brandwatch_21D,1.537
9/5/20,TIK_brandwatch_21D,1.507
9/4/20,TIK_brandwatch_21D,1.521
9/4/20,TIK_brandwatch_21D,1.596
9/4/20,TIK_brandwatch_21D,1.521
9/4/20,TIK_brandwatch_21D,1.596
9/3/20,TIK_brandwatch_21D,1.645
9/3/20,TIK_brandwatch_21D,1.754
9/3/20,TIK_brandwatch_21D,1.645
9/3/20,TIK_brandwatch_21D,1.754
9/2/20,TIK_brandwatch_21D,1.842
9/2/20,TIK_brandwatch_21D,1.882
9/2/20,TIK_brandwatch_21D,1.842
9/2/20,TIK_brandwatch_21D,1.882
9/1/20,TIK_brandwatch_21D,1.919
9/1/20,TIK_brandwatch_21D,1.893
9/1/20,TIK_brandwatch_21D,1.919
9/1/20,TIK_brandwatch_21D,1.893
9/15/20,TIK_brandwatch_50D,1.34
9/15/20,TIK_brandwatch_50D,1.335
9/15/20,TIK_brandwatch_50D,1.34
9/15/20,TIK_brandwatch_50D,1.335
9/14/20,TIK_brandwatch_50D,1.33
9/14/20,TIK_brandwatch_50D,1.335
9/14/20,TIK_brandwatch_50D,1.33
9/14/20,TIK_brandwatch_50D,1.335
9/13/20,TIK_brandwatch_50D,1.339
9/13/20,TIK_brandwatch_50D,1.308
9/13/20,TIK_brandwatch_50D,1.339
9/13/20,TIK_brandwatch_50D,1.308
9/12/20,TIK_brandwatch_50D,1.276
9/12/20,TIK_brandwatch_50D,1.267
9/12/20,TIK_brandwatch_50D,1.276
9/12/20,TIK_brandwatch_50D,1.267
9/11/20,TIK_brandwatch_50D,1.258
9/11/20,TIK_brandwatch_50D,1.234
9/11/20,TIK_brandwatch_50D,1.258
9/11/20,TIK_brandwatch_50D,1.234
9/10/20,TIK_brandwatch_50D,1.209
9/10/20,TIK_brandwatch_50D,1.177
9/10/20,TIK_brandwatch_50D,1.209
9/10/20,TIK_brandwatch_50D,1.177
9/9/20,TIK_brandwatch_50D,1.144
9/9/20,TIK_brandwatch_50D,1.1
9/9/20,TIK_brandwatch_50D,1.144
9/9/20,TIK_brandwatch_50D,1.1
9/8/20,TIK_brandwatch_50D,1.056
9/8/20,TIK_brandwatch_50D,1.044
9/8/20,TIK_brandwatch_50D,1.056
9/8/20,TIK_brandwatch_50D,1.044
9/7/20,TIK_brandwatch_50D,1.031
9/7/20,TIK_brandwatch_50D,1.032
9/7/20,TIK_brandwatch_50D,1.031
9/7/20,TIK_brandwatch_50D,1.032
9/6/20,TIK_brandwatch_50D,1.032
9/6/20,TIK_brandwatch_50D,0.998
9/6/20,TIK_brandwatch_50D,1.032
9/6/20,TIK_brandwatch_50D,0.998
9/5/20,TIK_brandwatch_50D,0.964
9/5/20,TIK_brandwatch_50D,0.914
9/5/20,TIK_brandwatch_50D,0.964
9/5/20,TIK_brandwatch_50D,0.914
9/4/20,TIK_brandwatch_50D,0.863
9/4/20,TIK_brandwatch_50D,0.833
9/4/20,TIK_brandwatch_50D,0.863
9/4/20,TIK_brandwatch_50D,0.833
9/3/20,TIK_brandwatch_50D,0.803
9/3/20,TIK_brandwatch_50D,0.808
9/3/20,TIK_brandwatch_50D,0.803
9/3/20,TIK_brandwatch_50D,0.808
9/2/20,TIK_brandwatch_50D,0.812
9/2/20,TIK_brandwatch_50D,0.767
9/2/20,TIK_brandwatch_50D,0.812
9/2/20,TIK_brandwatch_50D,0.767
9/1/20,TIK_brandwatch_50D,0.721
9/1/20,TIK_brandwatch_50D,0.637
9/1/20,TIK_brandwatch_50D,0.721
9/1/20,TIK_brandwatch_50D,0.637